"","handle","followers"
"766","Shade45","149 344 "
"767","AsburyParkPress","148 644 "
"768","NRA_Rifleman","148 101 "
"769","ESPNNewYork","147 855 "
"770","SoapDigest","147 679 "
"771","billboardbiz","147 658 "
"772","FOX9","147 656 "
"773","velonews","147 366 "
"774","WSJPolitics","147 281 "
"775","Latina","147 263 "
"776","DimeUPROXX","146 902 "
"777","EducationNext","146 762 "
"778","NYTMetro","145 880 "
"779","WIREDPhoto","145 583 "
"780","Enquirer","145 516 "
"781","GetJETmag","145 297 "
"782","WEEI","144 124 "
"783","myfox8","143 822 "
"784","wdsu","143 464 "
"785","wicwradio","143 413 "
"786","FOX13Memphis","143 246 "
"787","IEEESpectrum","143 124 "
"788","ALcomBirmingham","142 847 "
"789","WBEZ","142 221 "
"790","BuzzFeedPol","141 735 "
"791","nessnitty","141 143 "
"792","FOX61News","141 123 "
"793","stratandbiz","140 648 "
"794","dirtysouthradio","140 071 "
"795","FoxNewsInsider","140 014 "
"796","13NewsNow","139 902 "
"797","m_magazine","139 838 "
"798","WNEP","139 191 "
"799","whiotv","138 983 "
"800","WOODTV","138 643 "
"801","the_churchnews","138 467 "
"802","FoxNewsOpinion","138 449 "
"803","DandC","138 357 "
"804","WGR550","137 920 "
"805","HipHopNation","137 277 "
"806","WLWT","137 119 "
"807","Backstage","136 915 "
"808","elpasotimes","136 707 "
"809","thedrive","136 613 "
"810","NBCSChicago","136 573 "
"811","AlterNet","136 433 "
"812","nationaljournal","136 338 "
"813","BuzzFeedBooks","135 465 "
"814","premierguitar","135 092 "
"815","dfwticket","135 064 "
"816","hgtvdecorating","134 781 "
"817","KARK4News","134 559 "
"818","CBS6","134 152 "
"819","REWorld","133 854 "
"820","Bipartisanism","133 319 "
"821","GetGlobalNet","132 777 "
"822","philsteele042","132 734 "
"823","SiriusXMNASCAR","132 369 "
"824","fox7austin","131 976 "
"825","TVInsider","131 951 "
"826","WCCOBreaking","131 784 "
"827","MojoInTheMorn","131 670 "
"828","FCN2go","131 393 "
"829","LALATE","131 354 "
"830","npquarterly","131 272 "
"831","TheWeek","131 255 "
"832","MilkStudios","130 905 "
"833","bwdradio_","130 808 "
"834","MontanaCWR","130 526 "
